A_var,A_descricao,A_org_id,B_var,B_score,B_descricao,C_var,C_score,C_descricao,v050_pop,v050_hh,category
FLNAMORM,Filhas nascidas mortas - mulher,11.21,V0342,0.5,Filhas Tidas Nascidas Mortas (Mulheres),V0342,0.5,Filhas Tidas Nascidas Mortas (Mulheres),True,False,MAPPED
FLNAMORT,Total filhos nascidos mortos,11.22,V3357,0.67,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),V3357,0.67,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),True,False,MAPPED
FLNAODOH,Filhos nao moram domicilio,11.23,V0335,0.6,Filhos Tidos que moram no domicílio,V0335,0.6,Filhos Tidos que moram no domicílio,True,False,MAPPED
FLNAODOM,Filhas nao moram domicilio,11.24,V0336,0.6,Filhas Tidas que moram no domicílio,V0336,0.6,Filhas Tidas que moram no domicílio,True,False,MAPPED
FLNAVIVH,Filhos nascidos vivos - homem,11.25,V3354,0.43,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),V3354,0.43,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),True,False,MAPPED
FLNAVIVM,Filhas nascidas vivas - mulher,11.26,V3356,0.43,Número de Filhas Tidas Nascidas Vivas (Mulheres),V3356,0.43,Número de Filhas Tidas Nascidas Vivas (Mulheres),True,False,MAPPED
FLNAVIVT,Total filhos nascidos vivos,11.27,V3354,0.67,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),V3354,0.67,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),True,False,MAPPED
FLTIDOSH,Filhos tidos - homem,11.28,V3351,0.4,Total de Filhos(as) Tidos(as),V3351,0.4,Total de Filhos(as) Tidos(as),True,False,MAPPED
FLTIDOSM,Filhas tidas - mulher,11.29,V0336,0.4,Filhas Tidas que moram no domicílio,V0336,0.4,Filhas Tidas que moram no domicílio,True,False,MAPPED
FLTIDOST,Total filhos tidos,11.30,V3351,0.75,Total de Filhos(as) Tidos(as),V3351,0.75,Total de Filhos(as) Tidos(as),True,False,MAPPED
FLVIVOSH,Filhos vivos - homem,11.31,V3360,0.4,Total de Filhos(as) Vivos(as),V3360,0.4,Total de Filhos(as) Vivos(as),True,False,MAPPED
FLVIVOSM,Filhas vivas - mulher,11.32,V3362,0.4,Número de Filhas Vivas (Mulheres),V3362,0.4,Número de Filhas Vivas (Mulheres),True,False,MAPPED
FLVIVOST,Total filhos vivos,11.33,V3360,0.75,Total de Filhos(as) Vivos(as),V3360,0.75,Total de Filhos(as) Vivos(as),True,False,MAPPED
HOROUTR,Horas trabalhadas em outras ocupacões,11.34,V0355,1.0,Horas Trabalhadas em Outras Ocupações,V0355,1.0,Horas Trabalhadas em Outras Ocupações,True,False,MAPPED
HORTRAB,Horas trabalhadas ocupacao Q346,11.35,V0354,0.5,Horas Trabalhadas por Semana na Ocupação Principal,V0354,0.5,Horas Trabalhadas por Semana na Ocupação Principal,True,False,MAPPED
IDADEANO,Idade em anos,11.36,V3072,0.67,Idade (em anos completos),V3072,0.67,Idade (em anos completos),True,False,MAPPED
IDADEMES,Idade em meses,11.37,V3073,0.67,Idade (em meses completos),V3073,0.67,Idade (em meses completos),True,False,MAPPED
IDADETIP,Tipo de idade,11.38,V3071,1.0,Tipo de Idade,V3071,1.0,Tipo de Idade,True,False,MAPPED
LOCTRAB,Local de trabalho,11.39,V0352,1.0,Local de Trabalho,V0352,1.0,Local de Trabalho,True,False,MAPPED
MIANMOMU,Anos que mora no municipio,11.40,V0318,1.0,Anos em que mora no Município,V0318,1.0,Anos em que mora no Município,True,False,MAPPED
MIANMOUF,Anos que mora na UF,11.41,V0318,0.5,Anos em que mora no Município,V0318,0.5,Anos em que mora no Município,True,False,MAPPED
MIANORES,Ano fixou residencia,11.42,V3152,0.75,Ano que fixou residência no País,V3152,0.75,Ano que fixou residência no País,True,False,MAPPED
MIANTEMU,Municipio moradia anterior,11.43,V1102,0.33,Município,V1102,0.33,Município,True,True,MAPPED
MIANTEUF,Lugar de moradia anterior,11.44,,0.17,,,0.17,,False,False,TRULY_NEW
MIANTEZN,Zona moradia anterior,11.45,,0.17,,,0.17,,False,False,TRULY_NEW
MIMO86MU,Municipio moradia em 86,11.46,V1102,0.33,Município,V1102,0.33,Município,True,True,MAPPED
MIMO86UF,Lugar de moradia em 01/09/86,11.47,,0.27,,,0.27,,False,False,TRULY_NEW
MIMO86ZN,Zona de moradia em 86,11.48,,0.17,,,0.17,,False,False,TRULY_NEW
MIMUMOZN,Zona que morou neste municipio,11.49,V0312,0.75,Morou neste Município,V0312,0.75,Morou neste Município,True,False,MAPPED
MINACION,Nacionalidade,11.50,V3151,1.0,Nacionalidade,V3151,1.0,Nacionalidade,True,False,MAPPED
MINASCMU,Nasceu neste municipio,11.51,V0314,1.0,Nasceu neste Município,V0314,1.0,Nasceu neste Município,True,False,MAPPED
MIUFPAIS,UF/Pais de nascimento,11.52,V0316,0.33,Unidade da Federação ou País Estrangeiro de Nascimento,V1101,0.33,UF,True,False,B_C_DISAGREE
MIULTMUD,Ultima mudanca,11.53,,0.2,,,0.2,,False,False,TRULY_NEW
NORDMAE,Numero de ordem da mae,11.54,V3005,1.0,Número de Ordem da Mãe,V3005,1.0,Número de Ordem da Mãe,True,False,MAPPED
OCUPACAO,Ocupacao principal,11.55,V0208,0.5,Condição de Ocupação do Domicílio,V0346,0.5,Código da Ocupação,True,True,B_C_DISAGREE
OCUPAGRP,Grupo ocupacao principal,11.56,V3461,0.67,Grupo de Ocupação,V3461,0.67,Grupo de Ocupação,True,False,MAPPED
PARENDOM,Parentesco com o do chefe domicilio,11.57,,0.25,,,0.25,,False,False,TRULY_NEW
PARENFAM,Parentesco com o chefe da familia,11.58,,0.25,,,0.25,,False,False,TRULY_NEW
