dataset,A_var,A_vcode_raw,A_label,A_descricao_clean,B_var,B_descricao,C_vcode,C_nome,C_desde,C_tam,v050_col,category,is_identifier,A_categories
population,PARENDOM,503,503-Relação c/chefe domicílio,Relação c/chefe domicílio,V503,Relação com o chefe do domicílio,,,,,V503,B_AND_V050_AGREE_C_MISSING,False,0=Individual; 1=Chefe; 2=Cônjuge; 3=Filho/Enteado; 4=Pais/Sogros; 5=Genro/Nora Outro; 6=Agregado; 7=Hóspede/Pensionista; 8=Empregado Doméstico; 9=Parente Empregado
population,PARENFAM,504,504-Relação com o chefe,Relação com o chefe,V504,Relação com o chefe,,,,,V504,B_AND_V050_AGREE_C_MISSING,False,0=Individual; 1=Chefe; 2=Cônjuge; 3=Filho/Enteado; 4=Pais/Sogros; 5=Genro/Nora e Outro; 6=Agregado; 7=Hóspede/Pensionista; 8=Empregado Doméstico; 9=Parente Empregado
population,FAMILIA,505,505-Família a que pertence,Família a que pertence,V505,Família a que pertence,,,,,V505,B_AND_V050_AGREE_C_MISSING,False,0=Unica; 1=1a Convivente; 2=2a Convivente; 3=3a Convivente; 4=Domicílio Coletivo; 5=Individual
population,RELIGIAO,508,508-Religião,Religião,V508,Religião,,,,,V508,B_AND_V050_AGREE_C_MISSING,False,0=Sem Religião; 1=Católica/Melquita; 2=Protestante/Tradic; 3=Protestante/Pentec; 4=Espírita Kardec; 5=Espírita Afro; 6=Religiões Orientais; 7=Judáica/Israelita; 8=Outras Religiões; 9=Sem Declaração
population,COR,509,509-Cor,Cor,V509,Cor,,,,,V509,B_AND_V050_AGREE_C_MISSING,False,2=Branca; 4=Preta; 6=Amarela; 8=Parda; 9=Sem Declaração
population,MAEVIVA,510,510-Tem Mãe Viva,Tem Mãe Viva,V510,Tem mãe viva,,,,,V510,B_AND_V050_AGREE_C_MISSING,False,1=Sim; 3=Não; 5=Não Sabe; 9=Sem Declaração
population,MINACION,511,511-Nacionalidade,Nacionalidade,V511,Nacionalidade,,,,,V511,B_AND_V050_AGREE_C_MISSING,False,2=Brasileiro Nato; 4=Brasileiro Naturalizado; 6=Estrangeiro
population,MIUFNASC,512,512-UF de Nascimento,UF de Nascimento,V512,UF de Nascimento,,,,,V512,B_AND_V050_AGREE_C_MISSING,False,1=Rondônia; 2=Acre; 3=Amazonas; 4=Roraima; 5=Pará; 6=Amapá; 7=Maranhão; 8=Piauí; 9=Ceará; 10=Rio Grande do Norte; 11=Paraíba; 12=Pernambuco; 13=Alagoas; 14=Fernando Noronha; 15=Sergipe; 16=Bahia; 17=Minas Gerais; 18=Espírito Santo; 19=Rio de Janeiro; 20=São Paulo; 21=Paraná; 22=Santa Catarina; 23=Rio Grande do Sul; 24=Mato Grosso do Sul; 25=Mato Grosso; 26=Goiás; 27=Distrito Federal; 29=Brasil sem Especificação; 30=Argentina; 31=Bolívia; 32=Canadá; 33=Chile; 34=Colombia; 35=Costa Rica; 36=Cuba; 37=Equador; 38=Estados Unidos; 39=Guatemala; 40=Guiana; 41=Guiana Francesa; 42=Haiti; 43=Honduras; 44=Honduras Britânicas; 45=Jamaica; 46=México; 47=Nicaragua; 48=Panamá; 49=Paraguai; 50=Peru; 51=República Dominicana; 52=Salvador; 53=Suriname; 54=Uruguai; 55=Venezuela; 56=Outros América; 57=Alemanha Ocidental; 58=Alemanha Oriental; 59=Austria; 60=Bélgica; 61=Bulgaria; 62=Dinamarca; 63=Espanha; 64=Finlandia; 65=França; 66=Grã-Bretanha; 67=Grécia; 68=Holanda; 69=Hungria; 70=Irlanda (Eire); 71=Italia; 72=Iugoslávia; 73=Noruega; 74=Polonia; 75=Portugal; 76=Romenia; 77=Suécia; 78=Suiça; 79=TchecoEslovaquia; 80=URSS; 81=Outros Europa; 82=Angola; 83=Egito; 84=Moçambique; 85=Outros Africa; 86=China Continental; 87=China Formosa; 88=Coréia; 89=India; 90=Israel; 91=Japão; 92=Líbano; 93=Paquistão; 94=Síria; 95=Turquia; 96=Outros Asia; 97=Austrália; 98=Outros Oceania; 99=Outro S/Especificação
population,MINASCMU,513,513-Nasceu Neste Município,Nasceu Neste Município,V513,Nasceu neste município,513,Nasceu neste município,77.0,1.0,V513,MAPPED,False,1=Sim; 8=Não
population,MIMUMOZN,514,514-Neste Município Morou,Neste Município Morou,V514,Neste município morou,514,Neste município morou,78.0,1.0,V514,MAPPED,False,2=Só Zona Urbana; 4=Só Zona Rural; 6=Urbana e Rural; 9=Sem Declaração
population,MIANTEZN,515,515-Município Anterior Morava,Município Anterior Morava,V515,Município anterior que morava,515,No município que residia anteriormente morava,79.0,1.0,V515,MAPPED,False,1=Zona Urbana; 3=Zona Rural; 8=Nasceu; 9=Sem Declaração
population,MITEMPUF,516,516-Tempo Residencia UF Atual,Tempo Residencia UF Atual,V516,Tempo de Residência na UF Atual,516,Há quantos anos mora nesta UF,80.0,1.0,V516,MAPPED,False,0=< 1 Ano; 1=1 Ano; 2=2 Anos; 3=3 Anos; 4=4 Anos; 5=5 Anos; 6=6 a 9 Anos; 7=10 Anos e Mais; 8=Nasceu; 9=Sem Declaração
population,EDSABELE,519,519-Sabe Ler e Escrever,Sabe Ler e Escrever,V519,Sabe ler e escrever,519,Sabe ler e escrever,88.0,1.0,V519,MAPPED,False,2=Sim; 4=Esqueceu; 6=Não Sabe; 9=Sem Declaração
population,EDSERIE,520,520-Série que Frequenta,Série que Frequenta,V520,Série que freqüenta,520,Série que freqüenta,89.0,1.0,V520,MAPPED,False,0=Nenhuma; 1=1ª Série; 2=2ª Série; 3=3ª Série; 4=4ª Série; 5=5ª Série; 6=6ª Série; 7=7ª Série; 8=8ª Série; 9=Sem Declaração
population,EDULGRAU,524,524-Grau Ultima Série Concluída,Grau Ultima Série Concluída,V524,Grau da última série concluída,524,Grau da última série concluída com aprovação,93.0,1.0,V524,MAPPED,False,0=Nenhum; 1=Alfabetização Adultos; 2=Primário/Elementar; 3=Ginasial/Médio; 4=1º Grau; 5=2º Grau; 6=Colegial/Médio; 7=Superior; 8=Mestrado/Doutorado; 9=Sem Declaração
population,EDCURSNS,522,522-Curso não Seriado,Curso não Seriado,V522,Curso não seriado,522,Curso não seriado,91.0,1.0,V522,MAPPED,False,0=Nenhum; 1=Pré-Escolar; 2=Alfabetização Adultos; 3=Supletivo 1º Grau; 4=Supletivo 2º Grau; 5=Supletivo 1º Grau TV; 6=Supletivo 2º Grau TV; 7=Vestibular; 8=Mestrado/Doutorado; 9=Sem Declaração
population,EDULSERI,523,523-Ultima Série Concluída,Ultima Série Concluída,V523,Última série concluída,523,Última série que concluiu com aprovação,92.0,1.0,V523,MAPPED,False,0=Nenhuma; 1=1ª Série; 2=2ª Série; 3=3ª Série; 4=4ª Série; 5=5ª Série; 6=6ª Série; 7=7ª Série; 8=8ª Série; 9=Sem Declaração
population,EDULGRAU,524,524-Grau Ultima Série Concluída,Grau Ultima Série Concluída,V524,Grau da última série concluída,524,Grau da última série concluída com aprovação,93.0,1.0,V524,MAPPED,False,0=Nenhum; 1=Alfabetização Adultos; 2=Primário/Elementar; 3=Ginasial/Médio; 4=1º Grau; 5=2º Grau; 6=Colegial/Médio; 7=Superior; 8=Mestrado/Doutorado; 9=Sem Declaração
