Variáveis do Registro de Pessoas 1991,Unnamed: 1,Unnamed: 2,Unnamed: 3
V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,"11   Rondônia
12   Acre
13   Amazonas
14   Roraima
15   Pará
16   Amapá
17   Tocantins
21   Maranhão
22   Piauí
23   Ceará
24   Rio Grande do Norte
25   Paraíba
26   Pernambuco
27   Alagoas
28   Sergipe
29   Bahia
31   Minas Gerais
32   Espírito Santo
33   Rio de Janeiro
35   São Paulo
41   Paraná
42   Santa Catarina
43   Rio Grande do Sul
50   Mato Grosso do Sul
51   Mato Grosso
52   Goiás
53   Distrito Federal
54   Brasil não especificado
80   País estrangeiro ou mal definido
99   Ignorado
branco   (VAR0314) = código 1 ou (VAR0318) maior ou igual a 10",666.0
V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),"Para os códigos de Unidades da Federação válidos, os códigos de municípios estão no arquivo C1102BR.TXT ou pode ser 0000 - Município não declarado ou mal definido.
Para (VAR0319) = 54 ou 99 esta Vficará com código 0000.
Para Países estrangeiros (VAR0319) = 80 utilizar a relação seguinte:
0000   País não declarado ou mal definido
0030   Argentina
0031   Bolívia
0032   Canadá
0033   Chile
0034   Colômbia
0035   Costa Rica
0036   Cuba
0037   Equador
0038   Estados Unidos
0039   Guatemala
0040   Guiana Inglesa
0041   Guiana Francesa
0042   Haiti
0043   Honduras
0044   Belize
0045   Jamaica
0046   México
0047   Nicarágua
0048   Panamá
0049   Paraguai
0050   Peru
0051   República Dominicana
0052   El Salvador
0053   Suriname
0054   Uruguai
0055   Venezuela
0056   Outros países da América
0058   Alemanha
0059   Áustria
0060   Bélgica
0061   Bulgária
0062   Dinamarca
0063   Espanha
0064   Finlândia
0065   França
0066   Grã-Bretanha
0067   Grécia
0068   Holanda
0069   Hungria
0070   Irlanda
0071   Itália
0072   Iugoslávia
0073   Noruega
0074   Polônia
0075   Portugal
0076   Romênia
0077   Suécia
0078   Suíça
0079   Checoslováquia
0080   U.R.S.S.
0081   Outros países da Europa
0082   Angola
0083   Egito
0084   Moçambique
0085   Outros países da África
0086   China Continental
0087   China Formosa
0088   Coréia
0089   Índia
0090   Israel
0091   Japão
0092   Líbano
0093   Paquistão
0094   Síria
0095   Turquia
0096   Outros países da Ásia
0097   Austrália
0098   Outros países da Oceania
branco   (VAR0314) = código 1 ou (VAR0318) maior ou igual a 10",666.0
V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),"1   Na zona urbana
2   Na zona rural
9   Ignorado
branco   (VAR0314) = código 1 ou (VAR0318) maior ou igual a 10",
V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,"11   Rondônia
12   Acre
13   Amazonas
14   Roraima
15   Para
16   Amapá
17   Tocantins
21   Maranhão
22   Piauí
23   Ceará
24   Rio Grande do Norte
25   Paraíba
26   Pernambuco
27   Alagoas
28   Sergipe
29   Bahia
31   Minas Gerais
32   Espirito Santo
33   Rio de Janeiro
35   São Paulo
41   Paraná
42   Santa Catarina
43   Rio Grande do Sul
50   Mato Grosso do Sul
51   Mato Grosso
52   Goiás
53   Distrito Federal
54   Brasil não especificado
70   Neste município
80   País estrangeiro ou mal definido
99   Ignorado
branco   Pessoas com menos de 5 anos ou (VAR0314) = código 1",666.0
V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),"Os códigos dessa variável só têm sentido se combinados com os códigos da (VAR0321).
Para os códigos de Unidades da Federação válidos, os códigos de municípios estão no arquivo C1102BR.TXT ou pode ser 0000 - Município não declarado ou mal definido.
Para (VAR0321) = 54, 70 ou 99 esta Vficará com código 0000.
Para Países estrangeiros (VAR0321) = 80 utilizar a relação seguinte:

0000   País não declarado ou mal definido
0030   Argentina
0031   Bolívia
0032   Canadá
0033   Chile
0034   Colômbia
0035   Costa Rica
0036   Cuba
0037   Equador
0038   Estados Unidos
0039   Guatemala
0040   Guiana Inglesa
0041   Guiana Francesa
0042   Haiti
0043   Honduras
0044   Belize
0045   Jamaica
0046   México
0047   Nicarágua
0048   Panamá
0049   Paraguai
0050   Peru
0051   República Dominicana
0052   El Salvador
0053   Suriname
0054   Uruguai
0055   Venezuela
0056   Outros países da América
0058   Alemanha
0059   Áustria
0060   Bélgica
0061   Bulgária
0062   Dinamarca
0063   Espanha
0064   Finlândia
0065   França
0066   Grã-Bretanha
0067   Grécia
0068   Holanda
0069   Hungria
0070   Irlanda
0071   Itália
0072   Iugoslávia
0073   Noruega
0074   Polônia
0075   Portugal
0076   Romênia
0077   Suécia
0078   Suíça
0079   Checoslováquia
0080   U.R.S.S.
0081   Outros países da Europa
0082   Angola
0083   Egito
0084   Moçambique
0085   Outros países da África
0086   China Continental
0087   China Formosa
0088   Coréia
0089   Índia
0090   Israel
0091   Japão
0092   Líbano
0093   Paquistão
0094   Síria
0095   Turquia
0096   Outros países da Ásia
0097   Austrália
0098   Outros países da Oceania
branco   Pessoas com menos de 5 anos ou (VAR0314) = código 1",666.0
V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),"1   Na zona urbana
2   Na zona rural
9   Ignorado
branco   Pessoas com menos de 5 anos ou (VAR0314) = código 1 ou (VAR0321) = código 70",
V0323,Alfabetização,"1- Sabe ler e escrever
2- Não sabe
- Pessoas com menos de 5 anos",
V0324,Série que freqüenta,"0- nenhuma
1- 1ª série
2- 2ª série
3- 3ª série
4- 4ª série
5- 5ª série
6- 6ª série
7- 7ª série
8- 8ª série
- pessoas com menos de 5 anos",
V0325,Grau que freqüenta em curso seriado,"0- Nenhum
1- 1º grau
2- 2º grau
3- Superior
4- Supletivo - 1º grau
5- Supletivo - 2º grau
- Pessoas com menos de 5 anos",
V0326,Grau que freqüenta em curso não seriado,"0- Nenhum
1- Pré-escolar
2- Curso de alfabetização de adultos
3- Supletivo não seriado - 1º grau
4- Supletivo não seriado - 2º grau
5- Pré-vestibular
6- Mestrado ou Doutorado
- Pessoas com menos de 5 anos",
V0327,Última série concluída com aprovação,"0- nenhuma
1- 1ª série
2- 2ª série
3- 3ª série
4- 4ª série
5- 5ª série
6- 6ª série
7- 7ª série
8- 8ª série
9- nunca freqüentou
- pessoas com menos de 5 anos",
V0328,Grau da última série concluída com aprovação,"0- Nenhum
1- Curso de alfabetização de adultos
2- Primário ou elementar
3- Ginasial ou médio 1º ciclo
4- 1º grau
5- 2º grau
6- Colegial ou médio 2º ciclo
7- Superior
8- Mestrado ou Doutorado
- Pessoas com menos de 5 anos",
V3241,Anos de Estudo,"0- sem instrução
30- alfabetização de adultos
1- 1 ano de estudo
2- 2 anos de estudo
3- 3 anos de estudo
4- 4 anos de estudo
5- 5 anos de estudo
6- 6 anos de estudo
7- 7 anos de estudo
8- 8 anos de estudo
9- 9 anos de estudo
10- 10 anos de estudo
11- 11 anos de estudo
12- 12 anos de estudo
13- 13 anos de estudo
14- 14 anos de estudo
15- 15 anos de estudo
16- 16 anos de estudo
17- 17 anos ou mais de estudo
20- não determinado
- pessoas com menos de 5 anos",
V0329,Curso Concluído,"0- Nenhum curso
1- Primário ou Elementar (Ensino Geral)
2- Primário ou Elementar (Educação Especial)
3- Primário ou Elementar (Agrícola)
4- Primário ou Elementar (Administração)
5- Primário ou Elementar (Industrial)
6- Primário ou Elementar (Saúde)
7- Primário ou Elementar (Militar)
8- Primário ou Elementar (Outros)
10- Ensino Geral - 1º grau
11- Educação Especial - 1º grau
12- Agrícola - 1º grau
13- Administração - 1º grau
14- Contabilidade - 1º grau
15- Outro - 1º grau - Comercial
16- Eletrotécnica ou Eletrônica - 1º grau
17- Mecânica - 1º grau
18- Outro -1º grau - Industrial
19- Enfermagem - 1º grau
20- Outros - 1º grau - Saúde
21- Militar - 1º grau
22- Normal - 1º grau
23- Outros - 1º grau
24- Ensino Geral - 2º grau
25- Educação Especial - 2º grau
26- Agrícola - 2º grau
27- Administração - 2º grau
28- Contabilidade - 2º grau
29- Estatística - 2º grau
30- Secretariado - 2º grau
31- Outros - 2º grau - Comercial
32- Desenho - 2º grau
33- Eletrotécnica ou Eletrônica - 2º grau
34- Mecânica - 2º grau
35- Química - 2º grau
36- Outros - 2º grau - Industrial
37- Enfermagem - 2º grau
38- Laboratorista de análise clínica - 2º grau
39- Outros - 2º grau - Saúde
40- Militar - 2º grau
41- Normal - 2º grau
42- Outros - 2º grau
43- Biologia (inclui: Biomedicina, Biologia, Ciências Biológicas e afins)
44- Educação Física (inclui: Técnico de desportos)
45- Enfermagem
46- Farmácia (inclui: Farmácia Bioquímica e afins)
47- Medicina
48- Odontologia
49- Outros da Biologia (inclui: Nutrição, Fisioterapia, fonoaudiologia, Terapia Ocupacional)
50- Arquitetura e Urbanismo
51- Ciências Exatas
52- Ciências da Computação (inclui: Processamento de Dados, Engenharia de Sistemas, Informática e afins)
53- Engenharia Civil (inclui: Engenharia de Edificações, Pontes, Estradas, etc.)
54- Engenharia Elétrica e Eletrônica (inclui: Eletrotécnica, Telecomunicações, Comunicações, etc.)
55- Engenharia Mecânica (inclui: Engenharia Naval, Aeronáutica, Metalúrgica, Mecânica de Automóveis, etc.)
56- Engenharia Química e Química Industrial
57- Engenharia não classificada ou mal definida
58- Estatística
59- Física
60- Geologia
61- Matemática
62- Química
63- Outros da Tecnologia (exclusive Engenharia)
64- Agronomia (inclui: Ciências Agrícolas, Engenharia Agrícola e Engenharia Florestal)
65- Medicina Veterinária
66- Outros (inclui: Agrimensura, Engenharia de Pesca, Zootecnia, Fitotecnia) - Agrárias
67- Administração (inclui: Secretariado, Administração de Empresas, Administração Pública)
68- Biblioteconomia (inclui: Arquivologia)
69- Ciências Contábeis e Atuariais
70- Ciências Econômicas
71- Ciências e Estudos Sociais (inclui: Sociologia, Ciências Políticas e Sociais, Antropologia, etc.)
72- Comunicação Social (inclui: Editoração, Jornalismo, Rádio e TV, Publicidade, Turismo)
73- Direito (inclui: Relações Internacionais)
74- Filosofia
75- Geografia
76- História
77- Pedagogia (inclui: Administração Escolar, Educação Especial, Orientação Educacional, Formação de Professores)
78- Psicologia
79- Serviço Social
80- Teologia
81- Outros de Humanas (inclui: Museologia, Arqueologia)
82- Letras (inclui: Tradutor e Intérprete)
83- Artes (inclui: Cinema, Comunicação Visual, Dança, História da Arte, Desenho, Música, Teatro, etc.)
84- Defesa Nacional (Militar)
85- Outros Cursos de Grau Superior
86- Mestrado ou Doutorado - Medicina
87- Mestrado ou Doutorado - Outros (Biologia)
88- Mestrado ou Doutorado - Engenharia
89- Mestrado ou Doutorado - Outros (Ciências Tecnológicas)
90- Mestrado ou Doutorado - Ciências Agrárias
91- Mestrado ou Doutorado - Administração
92- Mestrado ou Doutorado - Ciências Econômicas, Contábeis, etc.
93- Mestrado ou Doutorado - Direito
94- Mestrado ou Doutorado - Pedagogia
95- Mestrado ou Doutorado - Outros (Ciências Humanas e Sociais)
96- Mestrado ou Doutorado - Letras e Artes
97- Mestrado ou Doutorado - (área não especificada)
- Pessoas com menos de 10 anos",
V0330,Vive ou Viveu com Cônjuge,"1- Sim
2- Não
- Pessoas com menos de 10 anos",
V3311,Idade da Pessoa ao contrair a Primeira União,"Campo numérico, sem categorias",
V3312,Idade da Pessoa ao iniciar a Situação Conjugal Atual,"Campo numérico, sem categorias",
V0332,Estado Conjugal (Natureza da União),"1- Casamento civil e religioso
2- Só casamento civil
3- Só casamento religioso
4- União Consensual
9- Ignorado
- Pessoas com menos de 10 anos ou (VAR0330) = código 2",
V0333,Estado Conjugal (Situação Conjugal),"5- Separado(a) não judicialmente
6- Desquitado(a) ou separado judicialmente
7- Divorciado(a)
8- Viúvo(a)
9- Ignorado
- Pessoas com menos de 10 anos ou (VAR0330) = código 2",
V3341,Duração da Situação Conjugal Atual da Pessoa,"Campo numérico, sem categorias",
