Ano,Variável,Label,Descrição,População a qual se aplica,Observação,Categorias
1991,V3361,Número de Filhos Vivos (Homens),Número de Filhos Vivos (Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V3362,Número de Filhas Vivas (Mulheres),Número de Filhas Vivas (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V0335,Filhos Tidos que moram no domicílio,Filhos Tidos que moram no domicílio,populationToApply,,"Campo numérico, sem categorias"
1991,V0336,Filhas Tidas que moram no domicílio,Filhas Tidas que moram no domicílio,populationToApply,,"Campo numérico, sem categorias"
1991,V0337,Filhos Tidos que moram em outro domicílio (Homens),Filhos Tidos que moram em outro domicílio (Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V0338,Filhas Tidas que moram em outro domicílio (Mulheres),Filhas Tidas que moram em outro domicílio (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),Filhos Tidos Nascidos Vivos que já morreram (Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),Filhas Tidas Nascidas Vivas que já morreram (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),populationToApply,,"Campo numérico, sem categorias"
1991,V0341,Filhos Tidos Nascidos Mortos (Homens),Filhos Tidos Nascidos Mortos (Homens),populationToApply,,"Campo numérico, sem categorias"
1991,V0342,Filhas Tidas Nascidas Mortas (Mulheres),Filhas Tidas Nascidas Mortas (Mulheres),populationToApply,,"Campo numérico, sem categorias"
1991,V0343,Sexo do Último Filho Nascido Vivo,Sexo do Último Filho Nascido Vivo,populationToApply,,"1- Homem
2- Mulher
7- Não tem
9- Ignorado
- Homens ou Mulher com menos de 10 anos"
1991,V3443,Idade Calculada do(a) Último(a) Filho(a) Nascido(a) Vivo(a),Idade Calculada do(a) Último(a) Filho(a) Nascido(a) Vivo(a),populationToApply,,"Campo numérico, sem categorias"
1991,V3444,Tipo de Idade do(a) Último(a) Filho(a) Nascido(a) Vivo(a),Tipo de Idade do(a) Último(a) Filho(a) Nascido(a) Vivo(a),populationToApply,,"1- Idade presumida
2- Idade declarada
9- Idade ignorada
- Homens ou mulher com menos de 10 anos ou mulher sem filho(a)"
1991,V0310,Religião,Religião,populationToApply,,"0- Sem religião
11- Católica Apostólica Romana
12- Católica Apostólica Brasileira
13- Católica Ortodoxa
21- Evangélica Tradicional Luterana
22- Evangélica Tradicional Presbiteriana
23- Evangélica Tradicional Metodista
24- Evangélica Tradicional Batista
25- Evangélica Tradicional Congregacional
26- Evangélica Tradicional Adventista
27- Evangélica Tradicional Episcopal Anglicana
28- Evangélica Tradicional Menonita
29- Evangélica Tradicional não determinada
30- Evangélica Tradicional Outras
31- Evangélica Pentecostal Assembléia de Deus
32- Evangélica Pentecostal Congregação Cristã do Brasil
33- Evangélica pentecostal O Brasil para Cristo
34- Evangélica pentecostal Evangelho Quadrangular
35- Evangélica pentecostal Universal do Reino de Deus
36- Evangélica pentecostal Casa da Benção
37- Evangélica pentecostal Casa da Oração
38- Evangélica pentecostal Deus é Amor
39- Evangélica pentecostal Maranata
40- Evangélica pentecostal Tradicional Renovada
41- Evangélica pentecostal não determinada
45- Evangélica pentecostal outras
49- Evangélica não determinada
51- Neo-Cristã Mórmon
52- Neo-Cristã Testemunha de Jeová
53- Neo-Cristã LBV
59- Neo-Cristã outra
61- Mediúnica Espírita
62- Mediúnica Umbandista
63- Mediúnica Candomblecista
71- Judaica ou Israelita
75- Oriental Budista
76- Oriental Messiânica
77- Oriental Seicho No-Ie
79- Oriental Outras
81- Outras - Islamismo
82- Outras - Esotérica
83- Outras - Indígena
84- Outras - grupos minoritários
85- Não determinada ou mal definidas - Cristã
86- Não determinada ou mal definidas - Crente
89- Não determinada ou mal definidas - outras
99- Sem declaração"
1991,V7301,Peso ou Fator para Expansão da Amostra,Peso ou Fator para Expansão da Amostra,populationToApply,,"Campo numérico, sem categorias"
