Ano,Variável,Label,Descrição,População a qual se aplica,Observação,Categorias
1991,V0316,Unidade da Federação ou País Estrangeiro de Nascimento,Unidade da Federação ou País Estrangeiro de Nascimento,populationToApply,,"1- Rondônia
2- Acre
3- Amazonas
4- Roraima
5- Pará
6- Amapá
7- Tocantins
8- Maranhão
9- Piauí
10- Ceará
11- Rio Grande do Norte
12- Paraíba
13- Pernambuco
14- Alagoas
15- Sergipe
16- Bahia
17- Minas Gerais
18- Espírito Santo
19- Rio de Janeiro
20- São Paulo
21- Paraná
22- Santa Catarina
23- Rio Grande do Sul
24- Mato Grosso do Sul
25- Mato Grosso
26- Goiás
27- Distrito Federal
29- Brasil sem especificação
30- Argentina
31- Bolívia
32- Canadá
33- Chile
34- Colômbia
35- Costa Rica
36- Cuba
37- Equador
38- Estados Unidos
39- Guatemala
40- Guiana Inglesa
41- Guiana Francesa
42- Haiti
43- Honduras
44- Belize
45- Jamaica
46- México
47- Nicarágua
48- Panamá
49- Paraguai
50- Peru
51- República Dominicana
52- El Salvador
53- Suriname
54- Uruguai
55- Venezuela
56- Outros países da América
58- Alemanha
59- Áustria
60- Bélgica
61- Bulgária
62- Dinamarca
63- Espanha
64- Finlândia
65- França
66- Grã-Bretanha
67- Grécia
68- Holanda
69- Hungria
70- Irlanda
71- Itália
72- Iugoslávia
73- Noruega
74- Polônia
75- Portugal
76- Romênia
77- Suécia
78- Suíça
79- Checoslováquia
80- U.R.S.S.
81- Outros países da Europa
82- Angola
83- Egito
84- Moçambique
85- Outros países da África
86- China Continental
87- China Formosa
88- Coréia
89- Índia
90- Israel
91- Japão
92- Líbano
93- Paquistão
94- Síria
95- Turquia
96- Outros países da Ásia
97- Austrália
98- Outros países da Oceania
99- Estrangeiro não especificado
- (Nasceu neste Município) = Sim"
1991,V0317,Anos em que mora na Unidade da Federação,Anos em que mora na Unidade da Federação,populationToApply,,"Campo numérico, sem categorias"
1991,V0318,Anos em que mora no Município,Anos em que mora no Município,populationToApply,,"Campo numérico, sem categorias"
1991,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,Unidade da Federação e Município ou País Estrangeiro que morava antes,populationToApply,,"11- Rondônia
12- Acre
13- Amazonas
14- Roraima
15- Pará
16- Amapá
17- Tocantins
21- Maranhão
22- Piauí
23- Ceará
24- Rio Grande do Norte
25- Paraíba
26- Pernambuco
27- Alagoas
28- Sergipe
29- Bahia
31- Minas Gerais
32- Espírito Santo
33- Rio de Janeiro
35- São Paulo
41- Paraná
42- Santa Catarina
43- Rio Grande do Sul
50- Mato Grosso do Sul
51- Mato Grosso
52- Goiás
53- Distrito Federal
54- Brasil não especificado
80- País estrangeiro ou mal definido
99- Ignorado
- (Nasceu neste Município) = 'Sim e sempre morou' ou (Anos em que mora no Município) maior ou igual a 10"
1991,V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),populationToApply,,Ver arquivo auxiliar municipioPais_1991.xls
1991,V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),Situação do Domicílio de Residência Anterior (declarado no quesito 319),populationToApply,,"1- Na zona urbana
2- Na zona rural
9- Ignorado
- (Nasceu neste Município) = 'Sim e sempre morou' ou (Anos em que mora no Município) maior ou igual a 10"
1991,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,populationToApply,,"11- Rondônia
12- Acre
13- Amazonas
14- Roraima
15- Para
16- Amapá
17- Tocantins
21- Maranhão
22- Piauí
23- Ceará
24- Rio Grande do Norte
25- Paraíba
26- Pernambuco
27- Alagoas
28- Sergipe
29- Bahia
31- Minas Gerais
32- Espirito Santo
33- Rio de Janeiro
35- São Paulo
41- Paraná
42- Santa Catarina
43- Rio Grande do Sul
50- Mato Grosso do Sul
51- Mato Grosso
52- Goiás
53- Distrito Federal
54- Brasil não especificado
70- Neste município
80- País estrangeiro ou mal definido
99- Ignorado
- Pessoas com menos de 5 anos ou (Nasceu neste Município) = 'Sim e sempre morou'"
1991,V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),populationToApply,,Ver arquivo auxiliar municipioPais_1991.xls
1991,V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),populationToApply,,"1- Na zona urbana
2- Na zona rural
9- Ignorado
- Pessoas com menos de 5 anos ou (Nasceu neste Município) = 'Sim e sempre morou' ou (VAR0321) = código 70"
1991,V0323,Alfabetização,Alfabetização,populationToApply,,"1- Sabe ler e escrever
2- Não sabe
- Pessoas com menos de 5 anos"
1991,V0324,Série que freqüenta,Série que freqüenta,populationToApply,,"0- nenhuma
1- 1ª série
2- 2ª série
3- 3ª série
4- 4ª série
5- 5ª série
6- 6ª série
7- 7ª série
8- 8ª série
- pessoas com menos de 5 anos"
1991,V0325,Grau que freqüenta em curso seriado,Grau que freqüenta em curso seriado,populationToApply,,"0- Nenhum
1- 1º grau
2- 2º grau
3- Superior
4- Supletivo - 1º grau
5- Supletivo - 2º grau
- Pessoas com menos de 5 anos"
1991,V0326,Grau que freqüenta em curso não seriado,Grau que freqüenta em curso não seriado,populationToApply,,"0- Nenhum
1- Pré-escolar
2- Curso de alfabetização de adultos
3- Supletivo não seriado - 1º grau
4- Supletivo não seriado - 2º grau
5- Pré-vestibular
6- Mestrado ou Doutorado
- Pessoas com menos de 5 anos"
1991,V0327,Última série concluída com aprovação,Última série concluída com aprovação,populationToApply,,"0- nenhuma
1- 1ª série
2- 2ª série
3- 3ª série
4- 4ª série
5- 5ª série
6- 6ª série
7- 7ª série
8- 8ª série
9- nunca freqüentou
- pessoas com menos de 5 anos"
1991,V0328,Grau da última série concluída com aprovação,Grau da última série concluída com aprovação,populationToApply,,"0- Nenhum
1- Curso de alfabetização de adultos
2- Primário ou elementar
3- Ginasial ou médio 1º ciclo
4- 1º grau
5- 2º grau
6- Colegial ou médio 2º ciclo
7- Superior
8- Mestrado ou Doutorado
- Pessoas com menos de 5 anos"
1991,V3241,Anos de Estudo,Anos de Estudo,populationToApply,,"0- sem instrução
30- alfabetização de adultos
1- 1 ano de estudo
2- 2 anos de estudo
3- 3 anos de estudo
4- 4 anos de estudo
5- 5 anos de estudo
6- 6 anos de estudo
7- 7 anos de estudo
8- 8 anos de estudo
9- 9 anos de estudo
10- 10 anos de estudo
11- 11 anos de estudo
12- 12 anos de estudo
13- 13 anos de estudo
14- 14 anos de estudo
15- 15 anos de estudo
16- 16 anos de estudo
17- 17 anos ou mais de estudo
20- não determinado
- pessoas com menos de 5 anos"
1991,V0329,Curso Concluído,Curso Concluído,populationToApply,,"0- Nenhum curso
1- Primário ou Elementar (Ensino Geral)
2- Primário ou Elementar (Educação Especial)
3- Primário ou Elementar (Agrícola)
4- Primário ou Elementar (Administração)
5- Primário ou Elementar (Industrial)
6- Primário ou Elementar (Saúde)
7- Primário ou Elementar (Militar)
8- Primário ou Elementar (Outros)
10- Ensino Geral - 1º grau
11- Educação Especial - 1º grau
12- Agrícola - 1º grau
13- Administração - 1º grau
14- Contabilidade - 1º grau
15- Outro - 1º grau - Comercial
16- Eletrotécnica ou Eletrônica - 1º grau
17- Mecânica - 1º grau
18- Outro -1º grau - Industrial
19- Enfermagem - 1º grau
20- Outros - 1º grau - Saúde
21- Militar - 1º grau
22- Normal - 1º grau
23- Outros - 1º grau
24- Ensino Geral - 2º grau
25- Educação Especial - 2º grau
26- Agrícola - 2º grau
27- Administração - 2º grau
28- Contabilidade - 2º grau
29- Estatística - 2º grau
30- Secretariado - 2º grau
31- Outros - 2º grau - Comercial
32- Desenho - 2º grau
33- Eletrotécnica ou Eletrônica - 2º grau
34- Mecânica - 2º grau
35- Química - 2º grau
36- Outros - 2º grau - Industrial
37- Enfermagem - 2º grau
38- Laboratorista de análise clínica - 2º grau
39- Outros - 2º grau - Saúde
40- Militar - 2º grau
41- Normal - 2º grau
42- Outros - 2º grau
43- Biologia (inclui: Biomedicina, Biologia, Ciências Biológicas e afins)
44- Educação Física (inclui: Técnico de desportos)
45- Enfermagem
46- Farmácia (inclui: Farmácia Bioquímica e afins)
47- Medicina
48- Odontologia
49- Outros da Biologia (inclui: Nutrição, Fisioterapia, fonoaudiologia, Terapia Ocupacional)
50- Arquitetura e Urbanismo
51- Ciências Exatas
52- Ciências da Computação (inclui: Processamento de Dados, Engenharia de Sistemas, Informática e afins)
53- Engenharia Civil (inclui: Engenharia de Edificações, Pontes, Estradas, etc.)
54- Engenharia Elétrica e Eletrônica (inclui: Eletrotécnica, Telecomunicações, Comunicações, etc.)
55- Engenharia Mecânica (inclui: Engenharia Naval, Aeronáutica, Metalúrgica, Mecânica de Automóveis, etc.)
56- Engenharia Química e Química Industrial
57- Engenharia não classificada ou mal definida
58- Estatística
59- Física
60- Geologia
61- Matemática
62- Química
63- Outros da Tecnologia (exclusive Engenharia)
64- Agronomia (inclui: Ciências Agrícolas, Engenharia Agrícola e Engenharia Florestal)
65- Medicina Veterinária
66- Outros (inclui: Agrimensura, Engenharia de Pesca, Zootecnia, Fitotecnia) - Agrárias
67- Administração (inclui: Secretariado, Administração de Empresas, Administração Pública)
68- Biblioteconomia (inclui: Arquivologia)
69- Ciências Contábeis e Atuariais
70- Ciências Econômicas
71- Ciências e Estudos Sociais (inclui: Sociologia, Ciências Políticas e Sociais, Antropologia, etc.)
72- Comunicação Social (inclui: Editoração, Jornalismo, Rádio e TV, Publicidade, Turismo)
73- Direito (inclui: Relações Internacionais)
74- Filosofia
75- Geografia
76- História
77- Pedagogia (inclui: Administração Escolar, Educação Especial, Orientação Educacional, Formação de Professores)
78- Psicologia
79- Serviço Social
80- Teologia
81- Outros de Humanas (inclui: Museologia, Arqueologia)
82- Letras (inclui: Tradutor e Intérprete)
83- Artes (inclui: Cinema, Comunicação Visual, Dança, História da Arte, Desenho, Música, Teatro, etc.)
84- Defesa Nacional (Militar)
85- Outros Cursos de Grau Superior
86- Mestrado ou Doutorado - Medicina
87- Mestrado ou Doutorado - Outros (Biologia)
88- Mestrado ou Doutorado - Engenharia
89- Mestrado ou Doutorado - Outros (Ciências Tecnológicas)
90- Mestrado ou Doutorado - Ciências Agrárias
91- Mestrado ou Doutorado - Administração
92- Mestrado ou Doutorado - Ciências Econômicas, Contábeis, etc.
93- Mestrado ou Doutorado - Direito
94- Mestrado ou Doutorado - Pedagogia
95- Mestrado ou Doutorado - Outros (Ciências Humanas e Sociais)
96- Mestrado ou Doutorado - Letras e Artes
97- Mestrado ou Doutorado - (área não especificada)
- Pessoas com menos de 10 anos"
1991,V0330,Vive ou Viveu com Cônjuge,Vive ou Viveu com Cônjuge,populationToApply,,"1- Sim
2- Não
- Pessoas com menos de 10 anos"
1991,V3311,Idade da Pessoa ao contrair a Primeira União,Idade da Pessoa ao contrair a Primeira União,populationToApply,,"Campo numérico, sem categorias"
1991,V3312,Idade da Pessoa ao iniciar a Situação Conjugal Atual,Idade da Pessoa ao iniciar a Situação Conjugal Atual,populationToApply,,"Campo numérico, sem categorias"
1991,V0332,Estado Conjugal (Natureza da União),Estado Conjugal (Natureza da União),populationToApply,,"1- Casamento civil e religioso
2- Só casamento civil
3- Só casamento religioso
4- União Consensual
9- Ignorado
- Pessoas com menos de 10 anos ou (VAR0330) = código 2"
